DATE,CSUSHPISA,Year,Month,GDP,Num_Vacant_House,Income,MORTGAGE30US,GDP Growth rate,Construstion material cost
2003-08-01,134.969,2003,8,11635.190666666667,15627.333333333334,65801.66666666667,6.14,8.633333333333333,147.2
2003-09-01,136.294,2003,9,11703.712333333333,15640.666666666666,65793.33333333333,6.0625,7.966666666666667,149.0
2003-10-01,137.531,2003,10,11772.234,15654.0,65785.0,5.984999999999999,7.3,149.6
2003-11-01,138.794,2003,11,11822.638333333334,15734.333333333334,65776.66666666667,5.9075,6.6,150.2
2003-12-01,140.179,2003,12,11873.042666666666,15814.666666666666,65768.33333333333,5.83,5.9,149.7
2004-01-01,141.646,2004,1,11923.447,15895.0,65760.0,5.7524999999999995,5.2,150.0
2004-02-01,143.192,2004,2,11986.569666666666,15956.333333333334,65845.0,5.675,5.633333333333334,153.4
2004-03-01,145.059,2004,3,12049.692333333334,16017.666666666666,65930.0,5.597499999999999,6.066666666666666,156.5
2004-04-01,146.593,2004,4,12112.815,16079.0,66015.0,5.52,6.5,160.1
2004-05-01,148.186,2004,5,12176.979000000001,15938.0,66100.0,5.75,6.5,162.7
2004-06-01,149.85,2004,6,12241.143,15797.0,66185.0,5.9799999999999995,6.5,162.0
2004-07-01,151.338,2004,7,12305.307,15656.0,66270.0,6.21,6.5,162.2
2004-08-01,152.633,2004,8,12379.276,15557.666666666666,66355.0,6.174285714285714,6.8,165.9
2004-09-01,154.179,2004,9,12453.245,15459.333333333334,66440.0,6.138571428571429,7.1000000000000005,167.2
2004-10-01,155.75,2004,10,12527.214,15361.0,66525.0,6.102857142857143,7.4,165.9
2004-11-01,157.527,2004,11,12607.238,15490.0,66610.0,6.067142857142857,7.566666666666667,165.5
2004-12-01,159.33,2004,12,12687.262,15619.0,66695.0,6.031428571428571,7.733333333333333,166.3
2005-01-01,161.288,2005,1,12767.286,15748.0,66780.0,5.9957142857142856,7.9,168.6
2005-02-01,163.344,2005,2,12819.076000000001,15852.333333333334,66841.66666666667,5.96,6.933333333333334,170.4
2005-03-01,165.812,2005,3,12870.866,15956.666666666666,66903.33333333333,5.924285714285714,5.966666666666667,170.0
2005-04-01,167.501,2005,4,12922.656,16061.0,66965.0,5.888571428571429,5.0,170.0
2005-05-01,169.351,2005,5,12995.984666666667,16001.666666666666,67026.66666666667,5.852857142857143,5.666666666666667,168.1
2005-06-01,171.19,2005,6,13069.313333333334,15942.333333333334,67088.33333333333,5.817142857142857,6.333333333333333,167.8
2005-07-01,172.86,2005,7,13142.642,15883.0,67150.0,5.781428571428571,7.0,167.2
2005-08-01,174.442,2005,8,13203.162666666667,15863.0,67211.66666666667,5.7457142857142856,6.533333333333333,165.9
2005-09-01,176.438,2005,9,13263.683333333332,15843.0,67273.33333333333,5.71,6.066666666666666,168.9
2005-10-01,178.028,2005,10,13324.204,15823.0,67335.0,5.8933333333333335,5.6,171.6
2005-11-01,179.68,2005,11,13415.856,15960.0,67396.66666666667,6.076666666666666,6.566666666666666,172.7
2005-12-01,180.91,2005,12,13507.508,16097.0,67458.33333333333,6.26,7.533333333333333,173.5
2006-01-01,182.321,2006,1,13599.16,16234.0,67520.0,6.328333333333333,8.5,177.2
2006-02-01,183.287,2006,2,13650.581333333334,16327.0,67610.83333333333,6.3966666666666665,7.2,177.7
2006-03-01,184.364,2006,3,13702.002666666667,16420.0,67701.66666666667,6.465,5.9,178.3
2006-04-01,184.329,2006,4,13753.424,16513.0,67792.5,6.533333333333333,4.6,179.0
2006-05-01,184.156,2006,5,13792.345333333335,16598.333333333332,67883.33333333333,6.601666666666667,4.199999999999999,179.9
2006-06-01,183.507,2006,6,13831.266666666666,16683.666666666668,67974.16666666667,6.67,3.8,180.7
2006-07-01,183.068,2006,7,13870.188,16769.0,68065.0,6.62875,3.4,182.3
2006-08-01,182.594,2006,8,13926.645333333334,16810.666666666668,68155.83333333333,6.5875,3.933333333333333,182.6
2006-09-01,182.798,2006,9,13983.102666666666,16852.333333333332,68246.66666666667,6.54625,4.466666666666667,183.3
2006-10-01,183.198,2006,10,14039.56,16894.0,68337.5,6.505,5.0,182.3
2006-11-01,183.609,2006,11,14098.257,17170.666666666668,68428.33333333333,6.46375,5.033333333333333,179.8
2006-12-01,184.139,2006,12,14156.954,17447.333333333332,68519.16666666667,6.422499999999999,5.066666666666666,179.8
2007-01-01,184.517,2007,1,14215.651,17724.0,68610.0,6.38125,5.1,181.1
2007-02-01,184.598,2007,2,14277.794666666667,17665.0,68415.83333333333,6.34,5.166666666666666,181.5
2007-03-01,184.15,2007,3,14339.938333333334,17606.0,68221.66666666667,6.18,5.233333333333333,182.5
2007-04-01,183.01,2007,4,14402.082,17547.0,68027.5,6.1899999999999995,5.3,183.7
2007-05-01,181.6,2007,5,14456.093666666668,17714.333333333332,67833.33333333333,6.199999999999999,5.066666666666666,184.0
2007-06-01,180.254,2007,6,14510.105333333333,17881.666666666668,67639.16666666667,6.21,4.833333333333333,184.0
